Funds Center/Commitment Item	RKAP	Release Budget	Commitment	Total Consume	Available Budget
5102020100  H-Beban Pemeliharaan Peralatan CNS	500000000	500000000	50000000	200000000	250000000
5102020200  H-Beban Pemeliharaan Peralatan Elektronika	300000000	300000000	30000000	120000000	150000000
5102030100  H-Beban Perlengkapan Kep. A.T.K. dan Cetakan Umum	100000000	100000000	10000000	40000000	50000000
5102040100  H-Beban Utilitas Pemakaian Listrik	200000000	200000000	20000000	80000000	100000000
*A022020000  AirNav Juanda	1100000000	1100000000	110000000	440000000	550000000
5102020300  H-Beban Pemeliharaan Gedung dan Bangunan	150000000	150000000	15000000	60000000	75000000
5102030200  H-Beban Perlengkapan Rumah Tangga	80000000	80000000	8000000	32000000	40000000
5102040200  H-Beban Utilitas Pemakaian Air	50000000	50000000	5000000	20000000	25000000
*A022020001  AirNav Juanda Cabang 1	280000000	280000000	28000000	112000000	140000000
Funds Center	1380000000	1380000000	138000000	552000000	690000000
